Oil Name,API Gravity,S,A,R,Ap,Oil Temperature,Wall Temperature,Rotation Speed,Wall Shear Stress,Oil Viscosity,Wax Crystal Solubility Coefficient,Temperature Gradient,Wax Deposition Rate
OL1,22.40,36.90,37.90,19.40,5.80,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL2,18.30,32.30,42.20,19.80,5.80,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL3,22.80,43.60,35.50,14.30,6.60,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL4,25.60,44.30,38.90,11.60,5.20,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL5,25.00,45.60,34.20,17.00,3.20,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL6,26.30,51.90,38.90,8.10,1.10,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL7,27.54,48.09,35.28,10.76,5.88,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL8,37.29,59.11,35.56,4.86,0.48,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL9,32.93,41.74,42.82,12.97,2.48,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL10,23.94,35.62,42.05,14.47,7.87,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL11,42.35,62.97,25.81,11.04,0.18,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL12,21.44,23.78,40.29,27.35,8.58,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
OL13,37.86,43.89,36.97,18.60,0.54,55.00,45.00,50.00,0.50,0.05,5.93,574.30,29.75
OL14,29.90,79.12,7.52,12.03,1.34,55.00,45.00,100.00,1.01,0.05,5.93,574.30,19.93
OL15,42.60,43.89,32.69,23.19,0.23,42.00,32.00,50.00,1.23,0.27,17.70,579.00,12.10
OL16,31.62,54.37,24.13,21.33,0.17,42.00,32.00,100.00,2.41,0.23,17.70,579.00,9.98
OL17,39.85,45.37,34.48,20.01,0.15,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL18,28.15,43.61,37.16,18.72,0.51,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL19,31.74,45.31,38.10,15.18,1.41,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL20,31.05,38.63,46.44,11.04,3.89,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL21,30.49,41.63,44.15,11.66,2.56,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL22,31.50,45.56,33.49,19.66,1.29,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL23,32.40,53.60,35.42,7.81,3.18,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL24,31.29,44.75,41.37,12.55,3.63,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL25,30.76,39.67,39.56,16.49,4.28,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL26,30.27,48.48,34.42,12.85,4.25,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL27,30.27,46.66,39.00,9.95,4.39,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL28,30.13,39.84,42.58,13.43,4.15,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
OL29,30.82,38.68,38.59,17.69,5.04,55.00,45.00,50.00,0.50,0.05,5.93,574.30,29.75
OL30,30.02,39.32,39.17,16.57,4.93,55.00,45.00,100.00,1.01,0.05,5.93,574.30,19.93
OL31,33.99,39.07,37.77,20.70,2.47,42.00,32.00,50.00,1.23,0.27,17.70,579.00,12.10
OL32,33.44,21.08,32.62,18.71,4.13,42.00,32.00,100.00,2.41,0.23,17.70,579.00,9.98
OL33,33.12,49.92,36.79,10.70,2.58,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL34,31.19,39.04,42.44,15.12,3.40,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL35,34.57,36.24,35.58,24.77,3.41,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL36,33.24,37.60,36.57,22.65,3.18,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL37,10.30,20.01,11.36,36.26,32.37,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL38,13.10,25.38,17.04,31.41,26.17,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL39,21.20,32.10,26.34,25.82,15.74,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL40,27.10,43.15,29.95,18.20,8.70,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL41,32.80,51.62,31.35,14.25,2.78,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL42,10.50,27.90,31.70,32.10,7.30,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL43,10.70,20.50,39.20,36.50,3.60,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL44,13.80,35.80,30.30,32.10,1.80,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
OL45,10.40,23.00,22.00,35.00,18.00,55.00,45.00,50.00,0.50,0.05,5.93,574.30,29.75
OL46,16.50,38.40,29.80,25.80,4.80,55.00,45.00,100.00,1.01,0.05,5.93,574.30,19.93
OL47,20.70,64.10,14.50,17.90,2.70,42.00,32.00,50.00,1.23,0.27,17.70,579.00,12.10
OL48,22.60,49.50,21.50,25.60,2.80,42.00,32.00,100.00,2.41,0.23,17.70,579.00,9.98
OL49,29.20,67.30,14.90,15.10,2.30,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL50,31.00,70.60,15.00,12.90,1.30,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL51,31.10,70.60,16.30,11.40,1.90,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL52,31.20,62.80,15.80,18.70,2.60,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL53,31.60,63.40,16.50,17.40,2.70,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL54,37.20,65.20,18.30,13.90,1.30,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL55,41.30,59.40,24.90,10.20,6.50,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL56,13.50,46.00,25.00,15.00,12.00,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL57,14.30,37.00,31.00,12.00,18.00,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL58,15.00,11.00,12.00,64.00,15.00,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL59,21.00,27.00,15.00,47.00,11.00,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL60,30.00,38.00,15.00,42.00,5.00,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
OL61,33.39,42.72,38.47,17.86,0.31,55.00,45.00,50.00,0.50,0.05,5.93,574.30,29.75
OL62,38.27,46.81,37.13,15.63,0.01,55.00,45.00,100.00,1.01,0.05,5.93,574.30,19.93
OL63,41.35,44.03,38.32,16.65,0.01,42.00,32.00,50.00,1.23,0.27,17.70,579.00,12.10
OL64,18.00,30.10,31.30,13.60,25.00,42.00,32.00,100.00,2.41,0.23,17.70,579.00,9.98
OL65,31.00,53.48,34.45,8.50,5.30,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL66,10.20,16.80,44.90,24.80,13.50,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL67,10.10,43.00,50.00,7.00,0.00,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL68,10.90,25.00,35.00,22.00,18.00,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL69,11.00,54.00,14.00,15.00,17.00,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL70,11.20,26.00,29.00,22.00,22.00,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL71,11.40,25.00,47.00,17.00,11.00,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL72,11.40,43.00,24.00,11.00,22.00,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL73,11.60,32.00,32.00,17.00,19.00,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL74,11.70,21.00,35.00,24.00,21.00,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL75,11.90,26.00,52.00,12.00,10.00,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL76,12.30,24.00,55.00,15.00,6.00,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
OL77,12.30,30.00,62.00,7.00,1.00,55.00,45.00,50.00,0.50,0.05,5.93,574.30,29.75
OL78,13.20,19.00,35.00,23.00,22.00,55.00,45.00,100.00,1.01,0.05,5.93,574.30,19.93
OL79,13.60,28.00,39.00,30.00,3.00,42.00,32.00,50.00,1.23,0.27,17.70,579.00,12.10
OL80,13.70,21.00,39.00,31.00,7.00,42.00,32.00,100.00,2.41,0.23,17.70,579.00,9.98
OL81,14.00,66.00,24.00,8.00,2.00,42.00,32.00,150.00,3.58,0.21,17.70,579.00,9.14
OL82,14.30,32.00,41.00,24.00,3.00,45.00,35.00,150.00,2.72,0.13,6.07,578.80,4.96
OL83,14.70,29.00,51.00,11.00,10.00,48.00,38.00,150.00,2.25,0.09,3.47,578.90,5.56
OL84,14.80,24.00,43.00,20.00,12.00,51.00,41.00,150.00,1.89,0.07,3.88,576.80,7.89
OL85,15.20,23.00,0.00,76.00,1.00,55.00,45.00,150.00,1.51,0.05,5.93,574.30,16.26
OL86,16.00,70.00,23.00,6.00,1.00,58.00,48.00,150.00,1.29,0.05,1.15,573.60,4.01
OL87,16.40,53.00,27.00,10.00,10.00,37.00,32.00,150.00,4.87,0.19,17.70,291.40,5.21
OL88,16.80,80.00,19.00,1.00,0.00,47.00,32.00,150.00,2.85,0.22,17.70,867.60,10.55
OL89,18.20,32.00,32.00,17.00,19.00,52.00,32.00,150.00,2.33,0.23,17.70,1152.00,12.25
OL90,18.30,34.00,31.00,20.00,15.00,50.00,45.00,150.00,1.76,0.05,5.93,288.40,11.33
OL91,18.80,38.00,29.00,20.00,13.00,60.00,45.00,150.00,1.32,0.05,5.93,859.30,24.22
OL92,1.00,38.00,40.00,14.00,8.00,65.00,45.00,150.00,1.17,0.05,5.93,1143.00,25.44
